id,title,budget,revenue,release_date,popularity,original_language,runtime,vote_average,vote_count
19995,Avatar,237000000,2787965087,2009-12-10,150.437577,en,162.0,7.2,11800
285,Pirates of the Caribbean: At World's End,300000000,961000000,2007-05-19,139.082615,en,169.0,6.9,4500
206647,Spectre,245000000,880674609,2015-10-26,107.376788,en,148.0,6.3,4466
49026,The Dark Knight Rises,250000000,1084939099,2012-07-16,112.31295,en,165.0,7.6,9106
49529,John Carter,260000000,284139100,2012-03-07,43.926995,en,132.0,6.1,2124
559,Spider-Man 3,258000000,890871626,2007-05-01,115.699814,en,139.0,5.9,3576
38757,Tangled,260000000,591794936,2010-11-24,48.681969,en,100.0,7.4,3330
99861,Avengers: Age of Ultron,280000000,1405403694,2015-04-22,134.279229,en,141.0,7.3,6767
767,Harry Potter and the Half-Blood Prince,250000000,933959197,2009-07-07,98.885637,en,153.0,7.4,5293
209112,Batman v Superman: Dawn of Justice,250000000,873260194,2016-03-23,155.790452,en,151.0,5.7,7004
1452,Superman Returns,270000000,391081192,2006-06-28,57.925623,en,154.0,5.4,1400
10764,Quantum of Solace,200000000,586090727,2008-10-30,107.928811,en,106.0,6.1,2965
58,Pirates of the Caribbean: Dead Man's Chest,200000000,1065659812,2006-06-20,145.847379,en,151.0,7.0,5246
57201,The Lone Ranger,255000000,89289910,2013-07-03,49.046956,en,149.0,5.9,2311
49521,Man of Steel,225000000,662845518,2013-06-12,99.398009,en,143.0,6.5,6359
2454,The Chronicles of Narnia: Prince Caspian,225000000,419651413,2008-05-15,53.978602,en,150.0,6.3,1630
24428,The Avengers,220000000,1519557910,2012-04-25,144.448633,en,143.0,7.4,11776
1865,Pirates of the Caribbean: On Stranger Tides,380000000,1045713802,2011-05-14,135.413856,en,136.0,6.4,4948
41154,Men in Black 3,225000000,624026776,2012-05-23,52.035179,en,106.0,6.2,4160
122917,The Hobbit: The Battle of the Five Armies,250000000,956019788,2014-12-10,120.965743,en,144.0,7.1,4760
1930,The Amazing Spider-Man,215000000,752215857,2012-06-27,89.866276,en,136.0,6.5,6586
20662,Robin Hood,200000000,310669540,2010-05-12,37.668301,en,140.0,6.2,1398
57158,The Hobbit: The Desolation of Smaug,250000000,958400000,2013-12-11,94.370564,en,161.0,7.6,4524
2268,The Golden Compass,180000000,372234864,2007-12-04,42.990906,en,113.0,5.8,1303
254,King Kong,207000000,550000000,2005-12-14,61.22601,en,187.0,6.6,2337
597,Titanic,200000000,1845034188,1997-11-18,100.025899,en,194.0,7.5,7562
271110,Captain America: Civil War,250000000,1153304495,2016-04-27,198.372395,en,147.0,7.1,7241
44833,Battleship,209000000,303025485,2012-04-11,64.928382,en,131.0,5.5,2114
135397,Jurassic World,150000000,1513528810,2015-06-09,418.708552,en,124.0,6.5,8662
37724,Skyfall,200000000,1108561013,2012-10-25,93.004993,en,143.0,6.9,7604
558,Spider-Man 2,200000000,783766341,2004-06-25,35.149586,en,127.0,6.7,4321
68721,Iron Man 3,200000000,1215439994,2013-04-18,77.68208,en,130.0,6.8,8806
12155,Alice in Wonderland,200000000,1025491110,2010-03-03,78.530105,en,108.0,6.4,4645
36668,X-Men: The Last Stand,210000000,459359555,2006-05-24,3.857526,en,104.0,6.3,3525
62211,Monsters University,200000000,743559607,2013-06-20,89.186492,en,104.0,7.0,3528
8373,Transformers: Revenge of the Fallen,150000000,836297228,2009-06-19,21.939663,en,150.0,6.0,3138
91314,Transformers: Age of Extinction,210000000,1091405097,2014-06-25,116.840296,en,165.0,5.8,3095
68728,Oz: The Great and Powerful,200000000,491868548,2013-03-07,46.985445,en,130.0,5.7,3530
102382,The Amazing Spider-Man 2,200000000,705717432,2014-04-16,89.270217,en,142.0,6.5,4179
20526,TRON: Legacy,170000000,400062763,2010-12-10,73.79505,en,125.0,6.3,2841
49013,Cars 2,200000000,559852396,2011-06-11,49.98659,en,106.0,5.8,2033
44912,Green Lantern,200000000,219851172,2011-06-16,51.872839,en,114.0,5.1,2487
10193,Toy Story 3,200000000,1066969703,2010-06-16,59.995418,en,103.0,7.6,4597
534,Terminator Salvation,200000000,371353001,2009-05-20,71.862892,en,115.0,5.9,2463
168259,Furious 7,190000000,1506249360,2015-04-01,102.322217,en,137.0,7.3,4176
72190,World War Z,200000000,531865000,2013-06-20,81.834855,en,116.0,6.7,5560
127585,X-Men: Days of Future Past,250000000,747862775,2014-05-15,118.078691,en,131.0,7.5,6032
54138,Star Trek Into Darkness,190000000,467365246,2013-05-05,78.291018,en,132.0,7.4,4418
81005,Jack the Giant Slayer,195000000,197687603,2013-02-27,43.349855,en,114.0,5.5,2598
64682,The Great Gatsby,105000000,351040419,2013-05-10,61.196071,en,143.0,7.3,3769
9543,Prince of Persia: The Sands of Time,150000000,335154643,2010-05-19,62.169881,en,116.0,6.2,2317
68726,Pacific Rim,180000000,407602906,2013-07-11,56.523205,en,131.0,6.7,4794
