id,production_countries
19995,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}]"
285,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
206647,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
49026,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
49529,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
559,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
38757,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
99861,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
767,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
209112,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
1452,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
10764,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
58,"[{""iso_3166_1"": ""JM"", ""name"": ""Jamaica""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""BS"", ""name"": ""Bahamas""}, {""iso_3166_1"": ""DM"", ""name"": ""Dominica""}]"
57201,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
49521,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
2454,"[{""iso_3166_1"": ""CZ"", ""name"": ""Czech Republic""}, {""iso_3166_1"": ""PL"", ""name"": ""Poland""}, {""iso_3166_1"": ""SI"", ""name"": ""Slovenia""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
24428,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
1865,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
41154,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
122917,"[{""iso_3166_1"": ""NZ"", ""name"": ""New Zealand""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
1930,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
20662,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
57158,"[{""iso_3166_1"": ""NZ"", ""name"": ""New Zealand""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
2268,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
254,"[{""iso_3166_1"": ""NZ"", ""name"": ""New Zealand""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}]"
597,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
